Title,Summary,Link,Time,Section,Subsection,Category
INSIDE,,https://www.nytimes.com/1997/04/24/nyregion/inside-769185.html,1997-04-24T05:00:00+0000,New York,New York,Florida Couple
A Classic in Search Of Its Former Glory; A Plaintive Cry From Consumers: Where Have the Peanuts Gone?,"Frito-Lay, Pepsico unit, faces task in resurrecting Cracker Jack, snack food that has been around for more than 100 years; consumers have complained that product lacked enough peanuts, tasted stale, and sometimes found no prize inside the box; whi...",https://www.nytimes.com/1998/07/04/business/classic-search-its-former-glory-plaintive-cry-consumers-where-have-peanuts-gone.html,1998-07-04T05:00:00+0000,Business Day,Business Day,Florida Couple
Corrections,,https://www.nytimes.com/1997/01/15/nyregion/c-corrections-181994.html,1997-01-15T05:00:00+0000,New York,New York,Florida Couple
NEWS SUMMARY,,https://www.nytimes.com/1997/11/13/nyregion/news-summary-111783.html,1997-11-13T05:00:00+0000,New York,New York,Florida Couple
Clinton Urges House to Settle Its Differences Over Gingrich,Pres Clinton says he and the public are weary of partisan bickering over ethics investigation against Speaker Newt Gingrich; urges House members to put it behind them and 'get on with it'; Clinton has not spoken of the ethics probe against Gingric...,https://www.nytimes.com/1997/01/16/us/clinton-urges-house-to-settle-its-differences-over-gingrich.html,1997-01-16T05:00:00+0000,U.S.,U.S.,Florida Couple
Muddying the Gingrich Case,Editorial accuses House Republican leadership of destroying any semblance of order in ethics committee investigation into conduct of Speaker Newt Gingrich; contends that Republicans are attempting to cloud issue further by attacking those who have...,https://www.nytimes.com/1997/01/15/opinion/muddying-the-gingrich-case.html,1997-01-15T05:00:00+0000,Opinion,Opinion,Florida Couple
Scanner Mania,James Traug Op-Ed article on widespread use by Americans of police scanners that eavesdrop on cellular telephone calls; drawing (M),https://www.nytimes.com/1997/01/20/opinion/scanner-mania.html,1997-01-20T05:00:00+0000,Opinion,Opinion,Florida Couple
An Unworthy Speaker,"Editorial says fine imposed on Speaker Newt Gingrich and language of House ethics subcommittee report add up to something far more damaging than a repimand, which is serious enough in itself; says net effect is that Gingrich has been seriously com...",https://www.nytimes.com/1997/01/19/opinion/an-unworthy-speaker.html,1997-01-19T05:00:00+0000,Opinion,Opinion,Florida Couple
CB Radios Are Still Drivers' Good Buddies,"CB radios are gaining in popularity again, riding coattails of cellular phones; long-distance truck drivers like Paul Stallibrass (Crocodile) say they enjoy sense of camaraderie of talking with others on road; photo; monthly costs of cell phones a...",https://www.nytimes.com/1997/02/16/weekinreview/cb-radios-are-still-drivers-good-buddies.html,1997-02-16T05:00:00+0000,Week in Review,Week in Review,Florida Couple
MOVIE GUIDE,,https://www.nytimes.com/1997/11/14/movies/movie-guide.html,1997-11-14T05:00:00+0000,Movies,Movies,Florida Couple
